Date,Last Price,Change,Change Percent,Share,Volume,Net Foreign,Trade
04-Apr-2025,"6,084.19",-61.54,-1.00%,1.72B,11.69B,-738.51M,53.18K
03-Apr-2025,"6,145.73",-101.95,-1.63%,1.35B,4.62B,-101.10M,52.84K
02-Apr-2025,"6,247.68",66.96,+1.08%,1.31B,6.06B,-259.87M,74.33K
31-Mar-2025,"6,180.72",33.28,+0.54%,1.15B,5.35B,249.68M,50.66K
28-Mar-2025,"6,147.44",7.93,+0.13%,1.54B,3.41B,70.34M,44.12K
27-Mar-2025,"6,139.51",-26.54,-0.43%,828.47M,4.50B,-187.81M,57.37K
26-Mar-2025,"6,166.05",6.2,+0.10%,1.06B,4.91B,-1.00B,57.22K
25-Mar-2025,"6,159.85",-32.17,-0.52%,520.59M,4.75B,-604.51M,59.78K
24-Mar-2025,"6,192.02",-74.73,-1.19%,630.53M,4.63B,-240.83M,42.85K
21-Mar-2025,"6,266.75",-56.38,-0.89%,1.58B,11.77B,1.04B,69.64K
20-Mar-2025,"6,323.13",10.01,+0.16%,1.06B,5.60B,166.83M,55.29K
19-Mar-2025,"6,313.12",28.44,+0.45%,966.38M,7.84B,392.22M,57.09K
18-Mar-2025,"6,284.68",-21.51,-0.34%,1.30B,8.47B,337.16M,68.76K
17-Mar-2025,"6,306.19",12.08,+0.19%,1.33B,5.26B,357.25M,54.89K
14-Mar-2025,"6,294.11",52.04,+0.83%,785.67M,6.32B,365.15M,64.16K
13-Mar-2025,"6,242.07",46.81,+0.76%,1.04B,5.65B,436.10M,62.49K
12-Mar-2025,"6,195.26",-11.29,-0.18%,741.54M,5.98B,2.62M,68.11K
11-Mar-2025,"6,206.55",-154.22,-2.42%,753.65M,7.71B,-350.28M,93.29K
10-Mar-2025,"6,360.77",62.48,+0.99%,627.42M,6.41B,1.41B,65.57K
07-Mar-2025,"6,298.29",78.33,+1.26%,528.06M,6.33B,158.85M,61.83K
06-Mar-2025,"6,219.96",98.19,+1.60%,631.03M,6.88B,319.48M,71.21K
05-Mar-2025,"6,121.77",57.66,+0.95%,588.42M,7.35B,-106.02M,80.29K
04-Mar-2025,"6,064.11",26.92,+0.45%,907.59M,7.09B,-266.33M,66.54K
03-Mar-2025,"6,037.19",39.22,+0.65%,1.62B,10.45B,293.79M,74.97K
28-Feb-2025,"5,997.97",-126.12,-2.06%,1.11B,20.63B,-3.43B,94.20K
27-Feb-2025,"6,124.09",-20.87,-0.34%,534.85M,6.35B,-368.83M,65.62K
26-Feb-2025,"6,144.96",80.8,+1.33%,467.32M,5.31B,166.13M,74.36K
25-Feb-2025,"6,064.16",-31.81,-0.52%,634.67M,5.17B,-563.80M,67.73K
24-Feb-2025,"6,095.97",-2.07,-0.03%,1.38B,4.47B,-632.57M,59.49K
21-Feb-2025,"6,098.04",31.41,+0.52%,1.69B,4.71B,-423.38M,60.85K
20-Feb-2025,"6,066.63",-53.25,-0.87%,1.20B,5.72B,-601.30M,72.78K
19-Feb-2025,"6,119.88",24.92,+0.41%,1.41B,5.18B,-515.39M,73.13K
18-Feb-2025,"6,094.96",101.48,+1.69%,1.06B,6.30B,-199.76M,55.90K
17-Feb-2025,"5,993.48",-67.85,-1.12%,1.23B,5.32B,-991.98M,64.61K
14-Feb-2025,"6,061.33",-51.86,-0.85%,541.30M,5.25B,-578.62M,55.82K
13-Feb-2025,"6,113.19",69.06,+1.14%,824.96M,6.08B,-369.44M,76.48K
12-Feb-2025,"6,044.13",56.38,+0.94%,533.86M,5.85B,-455.51M,62.81K
11-Feb-2025,"5,987.75",-49.37,-0.82%,478.95M,5.82B,-655.18M,64.86K
10-Feb-2025,"6,037.12",-117.87,-1.92%,716.60M,5.69B,-438.19M,65.08K
07-Feb-2025,"6,154.99",-86.98,-1.39%,449.92M,6.06B,403.73M,60.36K
06-Feb-2025,"6,241.97",-39.11,-0.62%,622.78M,5.13B,178.25M,66.09K
05-Feb-2025,"6,281.08",192.02,+3.15%,673.73M,7.50B,324.94M,80.29K
04-Feb-2025,"6,089.06",206.02,+3.50%,700.47M,7.35B,47.60M,79.70K
03-Feb-2025,"5,883.04",20.45,+0.35%,1.26B,11.37B,695.09M,96.27K
31-Jan-2025,"5,862.59",-245.07,-4.01%,1.76B,21.61B,594.22M,83.68K
30-Jan-2025,"6,107.66",-45.81,-0.74%,1.11B,4.95B,-398.32M,57.31K
